year,mo,da,temp,prcp
2011,01,17,23.1,0.0
2011,02,06,36.4,0.23
2011,03,03,27.4,0.0
2011,03,13,43.3,0.0
2011,03,15,38.2,0.0
2011,03,20,39.5,0.0
2011,04,14,55.1,0.14
2011,05,29,75.0,0.0
2011,07,19,82.4,0.0
2011,07,24,84.4,0.0
2011,08,01,79.4,0.02
2011,09,09,72.6,0.61
2011,09,20,64.3,0.01
2011,10,06,55.0,0.0
2011,10,09,62.5,0.0
2011,11,17,46.1,0.71
2011,11,19,37.8,0.0
2011,11,20,45.8,0.0
2011,11,28,58.7,0.0
2011,12,02,38.2,0.0
2011,12,30,35.3,0.0
2011,02,08,32.8,0.04
2011,02,13,32.2,0.0
2011,02,19,44.2,0.0
2011,03,18,59.5,0.0
2011,03,19,53.9,0.0
2011,04,15,53.0,0.0
2011,04,21,54.6,0.0
2011,05,02,59.5,0.0
2011,06,06,70.1,0.02
2011,06,28,73.0,0.0
2011,08,06,75.9,0.0
2011,08,11,72.7,0.0
2011,08,12,70.1,0.0
2011,09,11,69.3,0.0
2011,11,03,46.2,0.0
2011,11,04,47.8,0.0
2011,11,09,48.9,0.0
2011,11,11,41.5,0.06
2011,12,04,39.8,0.0
2011,12,06,56.1,0.02
2011,12,07,54.6,0.09
2011,12,13,32.7,0.0
2011,12,25,33.9,0.0
2011,04,01,38.4,0.21
2011,01,18,29.0,0.27
2011,01,26,30.3,0.03
2011,02,01,27.1,0.01
2011,05,24,71.8,0.05
2011,07,21,86.1,0.0
2011,03,22,45.6,0.05
2011,04,07,46.7,0.0
2011,05,04,53.1,0.33
2011,05,14,59.6,0.01
2011,08,25,75.0,0.04
2011,09,25,69.4,0.01
2011,03,06,53.6,0.02
2011,03,11,45.6,1.21
2011,06,17,70.6,0.29
2011,09,07,66.0,1.8
2011,09,08,69.8,5.88
